id,date,totalDailySales,totalDailyOrders,locationId,importedAt
hs-1,2026-02-27,17978.68,181,loc-mock-1,2026-05-29T00:00:00.000Z
hs-2,2026-02-28,23351.24,210,loc-mock-1,2026-05-29T00:00:00.000Z
hs-3,2026-03-01,13635.34,124,loc-mock-1,2026-05-29T00:00:00.000Z
hs-4,2026-03-02,8760.03,83,loc-mock-1,2026-05-29T00:00:00.000Z
hs-5,2026-03-03,9830.14,89,loc-mock-1,2026-05-29T00:00:00.000Z
hs-6,2026-03-04,10971.57,112,loc-mock-1,2026-05-29T00:00:00.000Z
hs-7,2026-03-05,12711.8,114,loc-mock-1,2026-05-29T00:00:00.000Z
hs-8,2026-03-06,18733.24,172,loc-mock-1,2026-05-29T00:00:00.000Z
hs-9,2026-03-07,23559.04,218,loc-mock-1,2026-05-29T00:00:00.000Z
hs-10,2026-03-08,13032.9,136,loc-mock-1,2026-05-29T00:00:00.000Z
hs-11,2026-03-09,8153.16,89,loc-mock-1,2026-05-29T00:00:00.000Z
hs-12,2026-03-10,9534.6,91,loc-mock-1,2026-05-29T00:00:00.000Z
hs-13,2026-03-11,9998.66,111,loc-mock-1,2026-05-29T00:00:00.000Z
hs-14,2026-03-12,12772.3,126,loc-mock-1,2026-05-29T00:00:00.000Z
hs-15,2026-03-13,19461.5,179,loc-mock-1,2026-05-29T00:00:00.000Z
hs-16,2026-03-14,23285.97,227,loc-mock-1,2026-05-29T00:00:00.000Z
hs-17,2026-03-15,13865.39,137,loc-mock-1,2026-05-29T00:00:00.000Z
hs-18,2026-03-16,8341.99,85,loc-mock-1,2026-05-29T00:00:00.000Z
hs-19,2026-03-17,10022.9,102,loc-mock-1,2026-05-29T00:00:00.000Z
hs-20,2026-03-18,9871.9,110,loc-mock-1,2026-05-29T00:00:00.000Z
hs-21,2026-03-19,12458.59,129,loc-mock-1,2026-05-29T00:00:00.000Z
hs-22,2026-03-20,18207.85,170,loc-mock-1,2026-05-29T00:00:00.000Z
hs-23,2026-03-21,21689.4,219,loc-mock-1,2026-05-29T00:00:00.000Z
hs-24,2026-03-22,13933.69,135,loc-mock-1,2026-05-29T00:00:00.000Z
hs-25,2026-03-23,9225.04,85,loc-mock-1,2026-05-29T00:00:00.000Z
hs-26,2026-03-24,10057.76,100,loc-mock-1,2026-05-29T00:00:00.000Z
hs-27,2026-03-25,10184.17,99,loc-mock-1,2026-05-29T00:00:00.000Z
hs-28,2026-03-26,12806.14,116,loc-mock-1,2026-05-29T00:00:00.000Z
hs-29,2026-03-27,19180.96,182,loc-mock-1,2026-05-29T00:00:00.000Z
hs-30,2026-03-28,21500.06,208,loc-mock-1,2026-05-29T00:00:00.000Z
hs-31,2026-03-29,13574.81,129,loc-mock-1,2026-05-29T00:00:00.000Z
hs-32,2026-03-30,8193.36,80,loc-mock-1,2026-05-29T00:00:00.000Z
hs-33,2026-03-31,10136.28,93,loc-mock-1,2026-05-29T00:00:00.000Z
hs-34,2026-04-01,9946.59,101,loc-mock-1,2026-05-29T00:00:00.000Z
hs-35,2026-04-02,12702.45,118,loc-mock-1,2026-05-29T00:00:00.000Z
hs-36,2026-04-03,18002.11,179,loc-mock-1,2026-05-29T00:00:00.000Z
hs-37,2026-04-04,21367.54,221,loc-mock-1,2026-05-29T00:00:00.000Z
